Chorale text,Chorale text URL,Zahn,Zahn URL,BWV,BWV URL,389,CPE,Riemenschneider,Notes,Notes URL,BC F ,BC F URL
"Ach bleib bei uns, Herr Jesu Christ","https://en.wikipedia.org/wiki/Ach_bleib_bei_uns,_Herr_Jesu_Christ",493,https://en.wikipedia.org/wiki/Danket_dem_Herrn_heut_und_allzeit,253,,1,177,177,0253; ≈BWV 414 ,http://www.bach-chorales.com/BWV0253.htm || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#BWV_414,35.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000323
"Ach, was soll ich Sünder machen","https://en.wikipedia.org/wiki/Ach,_was_soll_ich_Sünder_machen",3573b,"https://en.wikipedia.org/wiki/Ach,_was_soll_ich_Sünder_machen",259,,10,39,39,259,http://www.bach-chorales.com/BWV0259.htm,5.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000329
"Treuer Gott, ich muss dir klagen (v. 6) ","https://en.wikipedia.org/wiki/Treuer_Gott,_ich_muss_dir_klagen",6543,"https://en.wikipedia.org/wiki/Freu_dich_sehr,_o_meine_Seele",194/6 ,https://en.wikipedia.org/wiki/BWV_194,100,63,64,0194_6 ,http://www.bach-chorales.com/BWV0194_6.htm,208.2b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011184
"Treuer Gott, ich muss dir klagen (v. 12) ","https://en.wikipedia.org/wiki/Treuer_Gott,_ich_muss_dir_klagen",6543,"https://en.wikipedia.org/wiki/Freu_dich_sehr,_o_meine_Seele",25/6 ,https://en.wikipedia.org/wiki/BWV_25,101,254,254,0025_6 ,http://www.bach-chorales.com/BWV0025_6.htm,208.1b; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011177
"Weg, mein Herz, mit den Gedanken (v. 12)",,6543,"https://en.wikipedia.org/wiki/Freu_dich_sehr,_o_meine_Seele",32/6,https://en.wikipedia.org/wiki/BWV_32,102,29,29,0032_6 ,http://www.bach-chorales.com/BWV0032_6.htm,208.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011317
"Tröstet, tröstet meine Lieben (v. 3)",,6543,"https://en.wikipedia.org/wiki/Freu_dich_sehr,_o_meine_Seele",30/6,https://en.wikipedia.org/wiki/BWV_30,103,76,76,0030_6 ,http://www.bach-chorales.com/BWV0030_6.htm,208.6b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011318
"Kommt, laßt euch den Herren lehren (v. 6)",,6543,"https://en.wikipedia.org/wiki/Freu_dich_sehr,_o_meine_Seele",39/7,https://en.wikipedia.org/wiki/BWV_39,104,67,67,0039_7 ,http://www.bach-chorales.com/BWV0039_7.htm,208.5b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011247
"Freuet euch, ihr Christen alle (v. 4)","https://en.wikipedia.org/wiki/Freuet_euch,_ihr_Christen_alle",7880a,"https://en.wikipedia.org/wiki/Freuet_euch,_ihr_Christen_alle",40/8,https://en.wikipedia.org/wiki/BWV_40,105,8,8,0040_8 ,http://www.bach-chorales.com/BWV0040_8.htm,67.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011339
Für Freuden laßt uns springen,,2339,,313,,106,163,163,313,http://www.bach-chorales.com/BWV0313.htm,68.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000383
"Gelobet seist du, Jesu Christ","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",314,,107,287,288,314,http://www.bach-chorales.com/BWV0314.htm,69.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000384
"Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",64/2,https://en.wikipedia.org/wiki/BWV_64,108,160,160,0064_2 ,http://www.bach-chorales.com/BWV0064_2.htm,69.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011179
"Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",91/6,https://en.wikipedia.org/wiki/BWV_91,109,53,51,0091_6 ,http://www.bach-chorales.com/BWV0091_6.htm,69.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011252
"Ach wie flüchtig, ach wie nichtig (v. 8)","https://en.wikipedia.org/wiki/Ach_wie_flüchtig,_ach_wie_nichtig",1887,"https://en.wikipedia.org/wiki/Ach_wie_flüchtig,_ach_wie_nichtig",26/6,https://en.wikipedia.org/wiki/BWV_26,11,48,48,0026_6 ,http://www.bach-chorales.com/BWV0026_6.htm,6.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00011289
"Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",248/28,https://en.wikipedia.org/wiki/BWV_248,110,,,0248_28 ,http://www.bach-chorales.com/BWV0248_28.htm,69.4a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011262
Gib dich zufrieden und sei stille,,7417a,,315,,111,271,271,315,http://www.bach-chorales.com/BWV0315.htm,70.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000385
"Gott, der du selber bist das Licht",,5814,,316,,112,225,225,316,http://www.bach-chorales.com/BWV0316.htm,71.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000386
Gott der Vater wohn uns bei,https://en.wikipedia.org/wiki/Gott_der_Vater_wohn_uns_bei,8507,https://en.wikipedia.org/wiki/Gott_der_Vater_wohn_uns_bei,317,,113,134,135,317,http://www.bach-chorales.com/BWV0317.htm,72.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000387
"Ihr Gestirn, ihr hohlen Lüfte (v. 9)","https://en.wikipedia.org/wiki/Ihr_Gestirn,_ihr_hohlen_Lüfte",3614,https://en.wikipedia.org/wiki/Gott_des_Himmels_und_der_Erden,248/53,https://en.wikipedia.org/wiki/BWV_248,114,34,35,0248_53 ,http://www.bach-chorales.com/BWV0248_53.htm,73.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011267
Gottes Sohn ist kommen,https://en.wikipedia.org/wiki/Gottes_Sohn_ist_kommen,3294,"https://en.wikipedia.org/wiki/Menschenkind,_merk_eben",318,,115,18,18,318,http://www.bach-chorales.com/BWV0318.htm,143.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000388
Gott hat das Evangelium,https://en.wikipedia.org/wiki/Gott_hat_das_Evangelium,1788,https://en.wikipedia.org/wiki/Gott_hat_das_Evangelium,319,,116,181,181,319,http://www.bach-chorales.com/BWV0319.htm,74.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000389
Gott lebet noch,,7951,,320,,117,234,234,0320; ≈BWV 461: Schemelli No. 488 (37) ,http://www.bach-chorales.com/BWV0320.htm || https://en.wikipedia.org/wiki/BWV_461 || https://en.wikipedia.org/wiki/Schemellis_Gesangbuch,75.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000390
"Gottlob, es geht nunmehr zu Ende",,2855,,321,,118,192,192,321,http://www.bach-chorales.com/BWV0321.htm,77.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000391
Gott sei gelobet und gebenedeiet,https://en.wikipedia.org/wiki/Gott_sei_gelobet_und_gebenedeiet,8078,https://en.wikipedia.org/wiki/Gott_sei_gelobet_und_gebenedeiet,322,,119,70,70,322,http://www.bach-chorales.com/BWV0322.htm,76.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000392
Allein Gott in der Höh sei Ehr,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,260,,12,249,249,260,http://www.bach-chorales.com/BWV0260.htm,10.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000330
Gott sei uns gnädig und barmherzig,https://en.wikipedia.org/wiki/Gott_sei_uns_gnädig_und_barmherzig,7372,https://en.wikipedia.org/wiki/Tonus_peregrinus,323,,120,319,320,0323; Tune: German Magnificat (metric) ,http://www.bach-chorales.com/BWV0323.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Metre_(music),140.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000393
Meine Seele erhebet den Herren,https://en.wikipedia.org/wiki/Meine_Seele_erhebet_den_Herren,7372~,https://en.wikipedia.org/wiki/Tonus_peregrinus,324,,121,130,130,0324; Tune: German Magnificat (chant) ,http://www.bach-chorales.com/BWV0324.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Tonus_peregrinus,140.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000394
Meine Seele erhebt den Herren (doxology),https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren,7372~,https://en.wikipedia.org/wiki/Tonus_peregrinus,10/7,https://en.wikipedia.org/wiki/BWV_10,122,357,358,0010_7; Tune: German Magnificat (metric) ,http://www.bach-chorales.com/BWV0010_7.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Metre_(music),140.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011248
"Heilig, heilig (or)
Sanctus, Sanctus Dominus Deus Sabaoth ",,8633,,325,,123,235,235,325,http://www.bach-chorales.com/BWV0325.htm,79.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000395
Helft mir Gotts Güte preisen (v. 6) ,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,28/6 ,https://en.wikipedia.org/wiki/BWV_28,124,23,23,0028_6 ,http://www.bach-chorales.com/BWV0028_6.htm,80.1a/b; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011175
Helft mir Gotts Güte preisen (v. 5),https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,16/6,https://en.wikipedia.org/wiki/BWV_16,125,99,99,0016_6 ,http://www.bach-chorales.com/BWV0016_6.htm,80.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011324
Zeuch ein zu deinen Toren (v. 5),https://en.wikipedia.org/wiki/Zeuch_ein_zu_deinen_Toren,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,183/5,https://en.wikipedia.org/wiki/BWV_183,126,123,123,0183_5 ,http://www.bach-chorales.com/BWV0183_5.htm,80.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011325
"Herr Christ, der einge Gottessohn (v. 5)","https://en.wikipedia.org/wiki/Herr_Christ,_der_einig_Gotts_Sohn",4297a,"https://en.wikipedia.org/wiki/Herr_Christ,_der_einge_Gottessohn",164/6,https://en.wikipedia.org/wiki/BWV_164,127,101,101,0164_6 ,http://www.bach-chorales.com/BWV0164_6.htm,81.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011224
"Herr Christ, der einge Gottessohn (v. 5)","https://en.wikipedia.org/wiki/Herr_Christ,_der_einig_Gotts_Sohn",4297a,"https://en.wikipedia.org/wiki/Herr_Christ,_der_einge_Gottessohn",96/6,https://en.wikipedia.org/wiki/BWV_96,128,302,303,0096_6 ,http://www.bach-chorales.com/BWV0096_6.htm,81.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011231
"Herr Gott, dich loben alle wir","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_alle_wir",368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,326,,129,167,164,326,http://www.bach-chorales.com/BWV0326.htm,105.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000396
Der Herr ist mein getreuer Hirt (v. 1) ,https://en.wikipedia.org/wiki/Der_Herr_ist_mein_getreuer_Hirt,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,104/6 ,https://en.wikipedia.org/wiki/BWV_104,13,125,125,0104_6 ,http://www.bach-chorales.com/BWV0104_6.htm,10.2; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011290
"Herr Gott, dich loben alle wir (v. 11)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_alle_wir",368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,130/6,https://en.wikipedia.org/wiki/BWV_130,131,,,0130_6; Bach struck v. 12 in cantata[31] ,http://www.bach-chorales.com/BWV0130_6.htm || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-31,105.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011226
Vor deinen Thron tret ich hiermit,,368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,327,,132,333,334,327,http://www.bach-chorales.com/BWV0327.htm,105.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000397
"Herr Gott, dich loben wir","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",328,,133,205,205,328,http://www.bach-chorales.com/BWV0328.htm,83.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000398
"Herr Gott, dich loben wir (vv. 38–41)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",119/9,https://en.wikipedia.org/wiki/BWV_119,134,,,0119_9 ,http://www.bach-chorales.com/BWV0119_9.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"Herr Gott, dich loben wir (vv. 34–41)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",120/6,https://en.wikipedia.org/wiki/BWV_120,135,,,0120_6 ,http://www.bach-chorales.com/BWV0120_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"Herr, ich denk an jene Zeit","https://en.wikipedia.org/wiki/Herr,_ich_denk_an_jene_Zeit",4840,"https://en.wikipedia.org/wiki/Herr,_ich_denk_an_jene_Zeit",329,,136,212,212,329,http://www.bach-chorales.com/BWV0329.htm,134.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000399
"Herr, ich habe mißgehandelt",,3695,,330,,137,35,33,330,http://www.bach-chorales.com/BWV0330.htm,84.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000400
"Herr, ich habe mißgehandelt",,3695,,331,,138,286,287,331,http://www.bach-chorales.com/BWV0331.htm,84.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000401
"Herr Jesu Christ, dich zu uns wend","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_dich_zu_uns_wend",625,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_dich_zu_uns_wend",332,,139,136,136,332,http://www.bach-chorales.com/BWV0332.htm,85.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000402
Der Herr ist mein getreuer Hirt (v. 5) ,https://en.wikipedia.org/wiki/Der_Herr_ist_mein_getreuer_Hirt,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,112/5 ,https://en.wikipedia.org/wiki/BWV_112,14,312,313,0112_5 ,http://www.bach-chorales.com/BWV0112_5.htm,10.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011236
"Herr Jesu Christ, du hast bereit't",,4711,,333,,140,226,226,333,http://www.bach-chorales.com/BWV0333.htm,86.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000403
"Herr Jesu Christ, du höchstes Gut","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",334,,141,73,73,334,http://www.bach-chorales.com/BWV0334.htm,202.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000404
"Herr Jesu Christ, du höchstes Gut (v. 8)","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",113/8,https://en.wikipedia.org/wiki/BWV_113,142,293,294,0113_8 ,http://www.bach-chorales.com/BWV0113_8.htm,202.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011217
"Herr Jesu Christ, du höchstes Gut (v. 8)","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",168/6,https://en.wikipedia.org/wiki/BWV_168,143,92,92,0168_6 ,http://www.bach-chorales.com/BWV0168_6.htm,202.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011198
"Herr Jesu Christ, ich schrei zu dir (v. 12) ","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_ich_schrei_zu_dir",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",48/7 ,https://en.wikipedia.org/wiki/BWV_48,144,266,266,0048_7 ,http://www.bach-chorales.com/BWV0048_7.htm,202.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011320
"Herr Jesu Christ, meins Lebens Licht ","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_meins_Lebens_Licht",314,"https://en.wikipedia.org/wiki/Rex_Christe,_factor_omnium",335,,145,294,295,335,http://www.bach-chorales.com/BWV0335.htm,170.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000405
"Herr Jesu Christ, wahr Mensch und Gott","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_wahr_Mensch_und_Gott",423,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_wahr%27_Mensch_und_Gott",336,,146,189,189,336,http://www.bach-chorales.com/BWV0336.htm,88.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000406
